ID,Function,Indice de Competencias,Indice de Suceción,Origen
1200276,Marketing & Sales,3.12,81,Lideres
1200345,Marketing & Sales,4.38,89,Lideres
1200363,General Services,3.75,86,Lideres
1200401,Marketing & Sales,3.12,85,Lideres
1200487,Marketing & Sales,3.12,86,Lideres
1200548,Operations,4.38,93,Lideres
1200591,Operations,4.38,80,Lideres
1200620,Marketing & Sales,3.44,88,Lideres
1200621,Marketing & Sales,4.38,86,Lideres
1200638,Operations,4.38,91,Lideres
1200648,Marketing & Sales,3.75,84,Lideres
1200653,Marketing & Sales,3.12,87,Lideres
1200654,Corporate Communications,5.0,93,Lideres
1200695,Marketing & Sales,3.12,73,Lideres
1200734,Human Resources,3.12,78,Lideres
1200750,Research & Development,4.38,88,Lideres
1200758,Operations,3.75,86,Lideres
1200791,Research & Development,4.38,87,Lideres
1200838,Marketing & Sales,3.75,86,Lideres
1200922,Operations,3.75,85,Lideres
1200987,Marketing & Sales,5.0,91,Lideres
1201004,Marketing & Sales,5.0,97,Lideres
1201032,Legal,4.38,88,Lideres
1201041,Marketing & Sales,2.5,60,Lideres
1201118,Marketing & Sales,3.12,87,Lideres
1201124,Marketing & Sales,3.12,69,Lideres
1201125,Marketing & Sales,2.5,82,Lideres
1201145,Marketing & Sales,4.38,91,Lideres
1201155,Marketing & Sales,4.38,95,Lideres
1201171,Marketing & Sales,4.38,81,Lideres
1201187,Marketing & Sales,2.5,71,Lideres
1201209,Marketing & Sales,4.38,88,Lideres
1201272,Operations,3.75,83,Lideres
1201280,Marketing & Sales,2.5,67,Lideres
1201288,Operations,4.38,84,Lideres
1201315,Corporate Communications,3.75,91,Lideres
1201361,Business Services,3.12,81,Lideres
1201376,Operations,3.75,92,Lideres
1201382,Marketing & Sales,5.0,85,Lideres
1201411,Finance & Control,3.75,89,Lideres
1201443,Marketing & Sales,4.38,92,Lideres
1201458,Research & Development,3.75,87,Lideres
1201472,Marketing & Sales,3.12,78,Lideres
1201547,Operations,3.44,80,Lideres
1201568,Operations,3.75,81,Lideres
1201571,Operations,3.12,76,Lideres
1201572,Human Resources,4.38,88,Lideres
1201579,Operations,3.12,84,Lideres
1201620,Marketing & Sales,3.12,85,Lideres
1201627,Marketing & Sales,3.12,78,Lideres
1201631,Operations,4.38,89,Lideres
1201704,Operations,3.75,84,Lideres
1201741,Operations,3.12,74,Lideres
1201759,Operations,4.38,90,Lideres
1201765,General Services,3.75,87,Lideres
1201819,Operations,3.75,81,Lideres
1201833,Operations,3.12,69,Lideres
1201861,Operations,3.12,79,Lideres
1201869,Marketing & Sales,4.38,93,Lideres
1201874,Marketing & Sales,3.75,88,Lideres
1201975,Finance & Control,5.0,90,Lideres
1202040,Operations,4.38,94,Lideres
1202044,Finance & Control,3.75,79,Lideres
1202062,Operations,3.12,74,Lideres
1202065,Operations,3.75,76,Lideres
1202073,Operations,3.75,83,Lideres
1202083,Operations,3.75,76,Lideres
1202133,Operations,3.75,87,Lideres
1202376,Operations,2.5,78,Lideres
1202380,Operations,4.38,87,Lideres
1202385,Operations,5.0,93,Lideres
1202389,Operations,3.75,76,Lideres
1202413,Research & Development,3.75,83,Lideres
1202426,Operations,2.5,65,Lideres
1202430,Operations,3.75,80,Lideres
1202431,Operations,4.38,96,Lideres
1202433,Operations,4.38,88,Lideres
1202440,Marketing & Sales,2.5,71,Lideres
1202566,Operations,2.5,71,Lideres
1202597,Operations,3.12,68,Lideres
1202633,Operations,4.38,82,Lideres
1202650,Operations,2.5,80,Lideres
1202652,Marketing & Sales,4.38,88,Lideres
1202660,Marketing & Sales,4.38,90,Lideres
1202661,Marketing & Sales,4.38,87,Lideres
1202679,Marketing & Sales,2.5,72,Lideres
1202684,Operations,5.0,88,Lideres
1202701,Operations,3.12,83,Lideres
1202727,Operations,3.12,83,Lideres
1202773,Operations,4.38,90,Lideres
