ID,PotencialT,DesempeñoT
1200276,2,1
1200345,2,1
1200363,2,1
1200401,2,2
1200487,2,1
1200548,3,2
1200591,2,2
1200620,2,1
1200621,2,3
1200638,2,3
1200648,3,1
1200653,3,1
1200654,3,2
1200695,2,2
1200734,2,1
1200750,3,2
1200758,2,2
1200791,3,1
1200838,2,1
1200922,2,2
1200987,2,3
1201004,3,2
1201032,3,1
1201041,2,1
1201118,2,1
1201124,3,1
1201125,1,1
1201145,3,3
1201155,2,2
1201171,2,1
1201187,1,1
1201209,3,2
1201272,2,2
1201280,2,2
1201288,2,2
1201315,3,1
1201361,2,2
1201376,2,2
1201382,3,1
1201411,2,2
1201443,3,1
1201458,2,2
1201472,3,1
1201547,2,1
1201568,2,2
1201571,3,1
1201572,3,1
1201579,1,1
1201620,3,1
1201627,2,1
1201631,3,2
1201704,2,1
1201741,1,1
1201759,2,2
1201765,3,1
1201819,2,2
1201833,1,1
1201861,2,1
1201869,3,1
1201874,3,2
1201975,3,2
1202040,3,2
1202044,2,2
1202062,2,2
1202065,2,1
1202073,3,2
1202083,2,1
1202133,2,2
1202376,1,1
1202380,3,2
1202385,3,2
1202389,2,2
1202413,2,1
1202426,2,2
1202430,2,1
1202431,3,3
1202433,2,2
1202440,1,1
1202566,1,2
1202597,1,2
1202633,3,2
1202650,2,2
1202652,3,2
1202660,2,2
1202661,2,2
1202679,1,2
1202684,3,3
1202701,2,1
1202727,1,2
1202773,3,2
1202810,2,2
1202925,2,1
1202978,3,3
1203021,3,1
1203026,2,2
1203056,3,3
1203057,2,2
1203159,3,2
1203232,2,2
1203248,2,1
1203269,2,1
1203425,3,1
1203470,3,3
1203481,2,2
1203485,1,1
1203507,2,2
1203528,2,1
1203625,3,1
1203627,2,1
1203666,2,2
1203686,2,1
1203697,3,1
1203722,2,1
1203741,2,2
1203749,2,1
1203754,2,2
1203797,2,1
1203798,2,1
1203813,2,1
1203866,3,2
1203902,2,2
1203961,2,1
1203963,2,2
1203970,2,3
1203997,1,1
1203998,3,2
1203999,2,3
1204016,2,1
1204018,2,1
1204026,2,2
1204039,2,1
1204055,2,1
1204057,2,1
1204068,2,3
1204070,3,2
1204077,3,2
1204095,2,1
1204109,2,2
1204112,3,1
1204114,3,2
1204115,2,2
1204124,3,1
1204131,2,3
1204132,2,1
1204134,3,2
1204151,3,2
1204154,3,1
1204157,3,3
1204181,2,3
1204223,3,1
1204225,2,2
1204229,2,2
1204231,3,2
1204237,2,2
1204240,2,3
1204259,3,1
1204276,2,1
1204311,3,3
1204338,2,2
1204352,3,2
1204413,2,3
1204424,3,2
1204438,2,1
1204455,3,2
1204490,2,2
1204509,2,2
1204510,3,2
1204523,2,3
1204533,3,2
1204601,2,2
1204866,3,2
1204869,3,1
1204872,3,2
1204873,2,1
1204880,3,2
1205436,3,2
1205657,3,2
1205845,2,2
1206091,3,1
1206204,2,2
1206218,3,2
1206332,2,1
1206334,3,1
1206427,2,2
1206553,3,2
1206556,3,1
1206560,2,1
1206574,1,1
1206601,3,2
1206647,2,2
1206656,3,3
1206915,2,2
1206930,2,2
1206936,2,1
1210032,2,1
1210046,2,2
1210077,3,3
