ID,PotencialT,DesempeñoT
1200003,2,1
1200303,3,2
1200541,2,1
1200556,3,1
1200569,2,2
1200584,2,2
1200601,2,1
1200692,2,1
1200702,2,1
1200724,2,1
1200778,2,1
1200815,1,1
1200833,3,1
1200907,2,1
1200927,2,2
1200928,3,1
1200938,2,2
1200946,2,2
1201005,2,1
1201022,3,2
1201026,2,3
1201031,3,1
1201060,3,1
1201109,3,1
1201111,3,1
1201232,3,1
1201243,2,2
1201276,3,1
1201450,3,2
1201454,3,1
1201580,2,1
1201657,1,1
1201667,3,1
1201709,2,1
1201720,2,1
1201733,2,1
1201750,2,2
1201755,2,2
1201761,3,1
1201783,2,1
1201884,3,2
1201886,3,1
1201935,2,1
1201947,2,2
1201949,2,2
1201966,3,1
1202067,2,1
1202439,3,2
1202459,2,1
1202499,3,1
1202566,1,2
1202613,2,1
1202643,2,1
1202744,3,2
1202917,2,2
1202919,2,2
1202928,1,1
1202933,3,1
1202943,3,1
1203107,3,3
1203331,3,1
1203672,2,2
1203753,2,1
1203766,3,1
1203769,2,2
1203804,2,3
1203860,3,1
1203872,3,2
1203873,2,2
1203903,2,1
1203948,2,2
1203962,2,1
1203975,3,1
1204025,2,2
1204040,2,1
1204049,2,1
1204050,3,1
1204053,2,1
1204056,3,2
1204059,2,1
1204093,2,1
1204120,2,1
1204130,3,2
1204136,3,1
1204140,2,2
1204220,2,2
1204226,2,2
1204249,2,1
1204263,3,1
1204316,2,2
1204321,3,1
1204361,2,2
1204378,2,1
1204414,2,2
1204415,2,2
1204427,2,1
1204437,2,1
1204438,2,1
1204452,2,2
1204462,3,1
1204473,2,1
1204480,3,2
1204529,2,2
1204545,3,1
1204721,3,2
1204722,2,2
1204723,2,2
1204908,2,2
1205024,2,2
1205086,2,2
1205349,2,1
1205411,3,1
1205416,2,2
1205423,1,1
1205535,2,1
1205681,2,3
1205716,2,2
1206048,2,3
1206090,3,1
1206091,3,1
1206125,2,2
1206204,2,2
1206218,3,2
1206250,2,3
1206452,2,2
1206559,2,1
1206566,3,1
1206645,2,1
1206877,2,3
1206884,2,2
1207026,2,1
1207037,2,2
1210003,3,2
1210016,3,1
1210035,2,2
1210113,3,1
1210122,2,2
1210152,3,1
1210154,2,2
1210159,3,1
1210335,2,1
1210461,3,2
1210540,2,2
1270012,1,1
1271034,3,1
1290216,3,2
1290220,2,1
1290253,2,2
1290265,2,1
1290267,3,1
1290268,2,2
1290277,3,2
1290282,2,2
1290314,2,1
1290347,3,1
1290361,2,3
1290377,2,1
1290378,2,2
10011776,2,2
10012493,2,2
10014763,3,3
