BU,Marca,Empleados,BajasT,% PM,Rotacion,COSTONOMMEN,CostoPMPE,CostoRPEP
BU5,TAF,678,350.0,0.9285714285714286,63.13769067582583,8853948.297799997,55143.915975,6366.0
BU2,TOMMY HILFIGER,291,126.0,0.9285714285714286,55.07113354749885,5589536.569199998,55888.941,6366.0
BU3,VICTORIAS SECRET FA,282,98.0,0.7755102040816326,46.089017645509614,6965693.495100004,74110.08720000001,6366.0
BU3,GUESS,251,152.0,0.8618421052631579,71.13540530801163,5101779.754199994,58089.8046,6366.0
BU2,CALVIN KLEIN,144,159.0,0.9182389937106918,106.24436203267516,4020900.2715999987,74701.02840000001,6366.0
BU3,BATH & BODY WORKS,118,91.0,0.7582417582417582,84.39914302408621,3017177.6252000006,84854.58,6366.0
BU4,COACH,107,0.0,0.0,0.0,2387762.498999999,59190.6792,6366.0
BU3,ABERCROMBIE & FITCH,106,74.0,0.8918918918918919,78.77703968659513,2130566.4307,55143.915975,6366.0
BU5,NIKE,106,44.0,0.7954545454545454,53.25200300147653,1824288.6659000018,55143.915975,6366.0
BU5,TKD,101,33.0,0.8787878787878788,43.78748474072501,1176641.6105999998,55143.915975,6366.0
BU4,MODA RAPSODIA,72,57.0,0.9122807017543859,85.91453764413293,976749.5229,38723.0856,6366.0
BU4,BROOKS BROTHERS,67,39.0,0.8461538461538461,69.09503224434837,1163511.7850999995,51552.084,6366.0
BU3,HOLLISTER,34,45.0,0.8444444444444444,117.96471544289197,684426.852,55143.915975,6366.0
BU3,CRATE & BARREL,31,29.0,0.8620689655172413,95.88044700125636,696108.9114000001,61993.17480000001,6366.0
BU5,LUST,28,9.0,1.0,43.192398137927725,469864.98930000013,58632.12,6366.0
BU2,DRESS SHIRTS,15,0.0,0.0,0.0,148538.03999999998,55143.915975,6366.0
BU5,LACES,14,2.0,1.0,21.105951878429718,204247.16219999996,52100.664,6366.0
BU4,BRUNELLO CUCINELLI,9,5.0,0.6,66.73785371062466,321355.80750000005,72633.594,6366.0
BU4,KATE SPADE,2,2.0,1.0,100.0,24388.0452,55143.915975,6366.0
BU3,EXPRESS,2,0.0,0.0,0.0,30188.984099999994,34958.203199999996,6366.0
BU1,PROMODA,2275,3212.0,0.824719800747198,122.210642903317,15026213.714199806,34958.2032,6366.0
BU1,REDUCED,87,93.0,0.7849462365591398,104.18767224574847,584714.0899999999,34958.2032,6366.0
BU1,URBAN STORE,228,232.0,0.7931034482758621,101.0858009306865,1513710.0863999987,34958.2032,6366.0
