Unnamed: 0,Perfil,Puesto,Vacantes PA,Activos,Empresa,CLASIFICACIÓN,SueldoP,Reclutamiento,Costo ReclutamientoP,Costo Nomina,%HB,Productividad,Costo Productividad,%HBI,Vp
14,CORPORATIVO,Administrativo,8.0,3.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,81430.12133624824,247724.23332,32.87127797104135,0,0.0,32.87127797104136,Sin Vp
47,CORPORATIVO,Administrativo,1.0,1.0,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CEDIS,82574.74444,10178.76516703103,10178.76516703103,82574.74444,12.326729239140509,0,0.0,12.326729239140509,Sin Vp
22,OPERATIVO,Auxiliar,149.54807692307693,88.14423076923077,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,527648.5150356834,4248121.287385962,12.301319483828578,0,0.0,12.420749770079341,VP BU2
22,OPERATIVO,Auxiliar,1.451923076923077,0.8557692307692308,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,5122.801116851295,41243.89599403847,0.11943028625076291,0,0.0,12.420749770079341,VP BU3
29,OPERATIVO,Auxiliar,14.855769230769232,8.913461538461538,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,52415.41540089569,736026.8086142308,7.052925303057671,0,0.0,7.121400305999978,VP BU2
29,OPERATIVO,Auxiliar,0.14423076923076925,0.08653846153846154,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,508.88752816403587,7145.8913457692315,0.06847500294230749,0,0.0,7.121400305999978,VP BU3
18,OPERATIVO,Auxiliar,7.0,4.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,24698.00803356121,330298.97776,7.477470321299977,0,0.0,7.477470321299977,Sin Vp
25,OPERATIVO,Ayudante General,28.0,19.0,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,98792.03213424484,1568920.1443599998,6.296817112673665,0,0.0,6.296817112673665,Sin Vp
11,OPERATIVO,Ayudante General,140.0,94.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,493960.16067122424,7762025.977360001,6.363804528765937,0,0.0,6.363804528765937,Sin Vp
15,OPERATIVO,Ayudante Temporada,15.0,0.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,52924.302929059726,0.0,0.0,0,0.0,0.0,Sin Vp
23,OPERATIVO,Bodeguero,21.0,15.200000000000001,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,74094.02410068363,732565.7391840001,2.0228634820737446,0,0.0,10.114317410368722,VP BU2
23,OPERATIVO,Bodeguero,77.0,55.73333333333333,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,271678.0883691733,2686074.377008,7.417166100937062,0,0.0,10.114317410368722,VP BU3
23,OPERATIVO,Bodeguero,7.0,5.066666666666666,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,24698.00803356121,244188.57972799998,0.6742878273579148,0,0.0,10.114317410368722,VP BU4
10,OPERATIVO,Bodeguero,319.0,231.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,PDV OFF PRICE,61277.841920000006,3528.286861937316,1125523.5089580035,14155181.483520001,7.951318111098617,0,0.0,7.951318111098617,Sin Vp
50,OPERATIVO,Bodeguero,1.0,1.0,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",PDV FULL PRICE,94022.67237999999,3528.286861937316,3528.286861937316,94022.67237999999,3.7525915533196814,0,0.0,3.752591553319681,Sin Vp
28,OPERATIVO,Cajero,17.0,8.0,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,59980.87665293438,385560.91536,15.556783445471892,0,0.0,15.556783445471895,VP BU3
7,OPERATIVO,Cajero,517.0,234.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,PDV OFF PRICE,61277.841920000006,3528.286861937316,1824124.307621592,14339015.009280002,12.721405943442035,0,0.0,12.721405943442036,Sin Vp
41,CORPORATIVO,Coordinador De Area,4.0,6.0,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CEDIS,82574.74444,10178.76516703103,40715.06066812412,495448.46664,8.217819492760338,0,0.0,8.21781949276034,Sin Vp
5,CORPORATIVO,Dpi,446.0,242.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,PDV OFF PRICE,61277.841920000006,10178.76516703103,4539729.264495838,14829237.744640002,30.613368958473373,0,0.0,30.613368958473373,Sin Vp
19,CORPORATIVO,Encargado De Area,1.0,10.0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,10178.76516703103,825747.4443999998,1.2326729239140508,0,0.0,1.232672923914051,Sin Vp
0,CORPORATIVO,Entry Level,39.0,100.0,ADMINISTRADORA GEP S.A. DE.C.V,CORPORATIVO OFF PRICE,171507.0758,10178.76516703103,396971.84151421016,17150707.58,2.3146091183849,0,0.0,2.3146091183848996,Sin Vp
17,CORPORATIVO,Entry Level,0.8999999999999999,2.4,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,9160.888650327925,198179.386656,1.386757039403307,0,0.0,4.62252346467769,VP BU2
17,CORPORATIVO,Entry Level,0.8999999999999999,2.4,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,9160.888650327925,198179.386656,1.386757039403307,0,0.0,4.62252346467769,VP BU3
17,CORPORATIVO,Entry Level,0.15000000000000002,0.4,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,1526.8147750546543,33029.897776,0.2311261732338845,0,0.0,4.62252346467769,VP BU4
17,CORPORATIVO,Entry Level,1.0499999999999998,2.8,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,10687.703425382579,231209.28443199996,1.6178832126371916,0,0.0,4.62252346467769,VP MERCADOTECNIA
34,CORPORATIVO,Entry Level,37.8,96.6,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CORPORATIVO FULL PRICE,355239.2559,10178.76516703103,384757.323313773,34316112.11994,0.33636443601389454,0,0.0,1.1212147867129818,VP BU2
34,CORPORATIVO,Entry Level,37.8,96.6,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CORPORATIVO FULL PRICE,355239.2559,10178.76516703103,384757.323313773,34316112.11994,0.33636443601389454,0,0.0,1.1212147867129818,VP BU3
34,CORPORATIVO,Entry Level,6.300000000000001,16.1,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CORPORATIVO FULL PRICE,355239.2559,10178.76516703103,64126.220552295505,5719352.019990001,0.05606073933564909,0,0.0,1.1212147867129818,VP BU4
