No. Empleado ,Insight,Energizar y comprometer,Lograr resultados a través de otros,Coaching y desarrollo,Influir con integridad,Coraje
10554443,4.8,4.8,4.8,4.8,4.8,4.8
10789266,4.3,4.8,4.8,4.8,4.8,4.8
1206656,4.6,4.7,4.1,4.6,4.6,4.6
10011791,4.1,4.6,4.6,3.6,3.6,3.8
1201547,4.3,4.8,4.8,3.8,4.8,3.8
10286163,4.6,4.3,4.1,3.6,3.6,3.8
10395828,4.7,4.6,3.6,4.6,3.8,4.3
1204055,3.4,4.8,4.6,3.6,4.6,4.2
1203963,3.7,4.8,4.1,4.8,4.8,4.8
1203722,4.7,4.8,4.8,4.8,4.6,4.8
1204879,3.7,4.8,4.6,3.6,3.6,4.8
10167969,4.8,4.7,4.3,4.8,4.8,4.8
10479026,4.8,3.7,4.8,4.8,4.8,4.8
10577572,4.2,4.6,4.6,4.8,4.6,4.6
1203797,3.8,4.8,4.8,4.8,4.8,4.8
10090114,4.6,4.8,4.8,4.6,4.8,4.8
10151259,3.6,4.1,4.1,4.6,3.6,4.6
10293015,3.7,3.7,3.7,3.6,3.6,3.6
10246070,4.6,4.6,4.6,4.6,4.6,4.6
1206553,3.7,4.2,4.7,3.8,3.8,4.3
1206560,4.6,4.5,4.6,4.6,4.6,4.6
10431880,4.6,4.6,4.6,4.6,4.6,4.6
1204240,3.6,4.8,4.8,4.8,3.8,4.7
10969714,3.8,2.6,3.8,3.8,3.8,3.8
10555858,3.2,3.7,2.8,2.8,3.8,2.8
1210046,4.6,4.8,4.2,4.6,4.8,4.8
10141374,4.8,4.3,4.8,4.8,4.8,4.8
1203666,4.8,4.3,4.3,3.8,4.8,4.8
10260990,3.8,4.3,3.7,3.8,3.8,3.8
1202083,3.6,3.8,3.8,3.8,3.8,4.3
10819526,4.7,4.7,4.8,4.8,4.8,4.8
10109569,3.7,4.8,4.8,4.8,4.8,4.8
10232278,4.6,4.8,4.8,4.6,4.8,4.8
1200734,4.6,4.2,3.6,3.8,3.8,3.6
1202015,4.3,4.8,4.3,3.6,3.8,4.8
10612503,3.5,4.1,3.7,3.6,4.6,3.6
