Numero de Empleado ,Conocimiento del entorno empresarial,Practica lo que se predica,Enfoque a resultados,Conocimiento de si mismo,Cooperación proactiva,Iniciativa
10581045,4.3,4.8,4.8,4.8,4.8,4.8
10765310,4.8,4.8,4.8,4.3,4.7,3.8
11000461,4.8,4.8,4.8,3.3,3.8,3.8
10941433,4.7,4.8,4.8,4.8,4.6,4.6
131704,4.2,3.8,3.6,4.3,3.7,4.1
10975041,3.6,4.8,3.6,3.6,4.3,3.6
10889154,3.6,4.8,3.6,3.1,3.6,3.5
10596064,4.3,3.8,4.8,3.8,4.3,3.8
10779219,3.8,3.8,3.8,3.6,3.8,2.8
10956607,4.8,4.8,4.6,4.8,4.2,4.1
10895995,3.8,4.8,4.8,3.8,3.8,3.8
10823227,2.7,3.8,2.8,2.7,3.6,2.8
10898694,3.3,4.3,3.8,3.7,3.6,3.3
10493033,3.3,4.8,2.8,3.8,4.7,3.1
10877060,4.1,4.7,2.6,3.5,4.8,3.6
10036226,3.8,4.8,3.8,3.8,3.8,4.1
10816357,3.8,4.8,3.6,3.7,3.6,2.7
10894771,4.8,4.8,4.6,3.6,4.3,3.5
11011965,4.8,4.8,4.8,4.3,4.7,4.7
10830752,4.6,4.8,4.6,4.1,4.6,4.4
10964869,4.8,4.8,4.6,4.6,4.8,4.4
10425684,3.7,4.8,3.6,3.8,4.1,3.6
10898672,2.7,3.1,2.6,2.6,3.1,2.5
10889153,3.8,3.8,3.8,3.6,3.8,3.6
1204263,3.8,3.8,4.8,3.8,3.8,3.8
10036184,3.8,3.8,3.4,3.6,4.6,3.4
1202613,4.2,4.6,3.6,4.1,4.6,3.6
10816426,3.8,4.8,3.8,3.8,4.6,4.1
1290314,4.6,4.8,4.8,4.2,3.6,2.6
10913918,4.8,4.3,3.8,3.6,2.7,3.3
10312171,4.8,4.8,4.8,4.3,4.8,3.8
10643466,4.8,4.8,2.8,3.8,3.8,2.8
10646787,3.8,3.8,4.8,3.8,3.8,3.8
10684789,3.6,4.1,3.4,3.9,4.6,3.6
10035975,3.8,3.8,3.8,3.8,3.8,2.8
11020008,4.8,4.8,4.8,4.7,4.8,4.8
11004909,3.6,4.8,3.8,4.8,4.6,4.1
11009544,3.3,4.8,3.8,3.6,4.3,2.7
11030414,4.8,4.8,4.8,4.8,4.8,4.8
10210658,4.3,4.8,4.8,4.3,3.8,4.8
10838888,2.8,3.8,3.8,3.3,3.3,3.3
10663338,4.6,4.3,3.8,4.6,4.1,3.6
10475069,3.8,3.8,3.8,3.3,3.8,3.8
10680349,3.8,3.8,3.8,3.1,3.6,3.7
10694029,3.7,4.8,3.8,3.8,3.8,3.8
10750131,4.6,4.8,4.8,3.5,4.8,3.6
11001774,4.6,4.8,4.8,4.7,4.8,4.8
10779215,3.8,4.8,3.8,3.8,4.3,3.8
10677077,4.6,4.8,4.8,3.7,3.8,3.8
10796523,3.3,4.8,3.8,3.8,3.8,3.8
10964168,4.8,4.8,4.8,4.8,4.8,4.8
10819525,4.8,4.8,4.8,4.8,4.8,4.8
10020777,3.3,4.8,3.8,4.8,4.8,3.8
10761869,3.8,4.8,2.8,4.8,3.8,3.3
10867420,4.8,4.8,4.8,4.2,4.7,4.8
10132433,4.8,4.8,4.8,4.7,4.8,4.8
10913921,4.8,3.8,4.8,3.3,3.8,4.3
10961019,3.6,3.8,4.6,3.5,4.1,4.1
1204361,3.8,4.8,3.8,3.8,4.3,3.3
10666855,4.8,4.8,3.8,4.7,4.8,4.2
10994904,3.8,4.3,3.8,2.8,3.3,2.8
10029640,3.7,4.8,3.6,3.3,3.8,3.8
10880067,3.6,4.3,3.6,3.1,3.6,3.6
