ID,No. Empleado PM,Function,Sub Function,Position,it
10828166,10496027,Marketing & Sales,Sales,Supervisor Mercadeo,4.09282724
10828166,10496027,Marketing & Sales,Sales,Supervisor Mercadeo,4.062701567
10610878,1200276,Marketing & Sales,Sales,Coordinador Cuentas Clave,4.057258741
10779214,10826383,Marketing & Sales,Sales,"Coodinador Marketing activator,
Coordinador Category Management",4.056729428
10880056,10586568,Marketing & Sales,Sales,"Coordinador Planeacion Estrategica Comer,
Especialista Trainee Comercial",4.055431124
11009862,10586568,Marketing & Sales,Sales,Commercial Trainee,4.043602795
10670499,10246070,Marketing & Sales,Sales,Coordinador Cuentas Clave,4.041844037
10844589,10697516,Marketing & Sales,Sales,Vendedor Bebidas,4.041708812
10828166,10496027,Marketing & Sales,Sales,Supervisor Mercadeo,4.037866771
10879650,10879650,Marketing & Sales,Sales,Vendedor,4.037866771
10917731,10917731,Marketing & Sales,Sales,Coffee Specialist CRC,4.037866771
10980996,10697516,Marketing & Sales,Sales,"Vendedor OOH y FS,
Vendedor Bebidas",4.037866771
10980996,10980996,Marketing & Sales,Sales,"Vendedor OOH y FS,
Vendedor Bebidas",4.037866771
10924859,10924859,Marketing & Sales,Sales,Coffee Specialist CRC,4.036791074
10543195,10449568,Marketing & Sales,Sales,Coordinador Desarrollo Categoria,4.035772242
10779230,10408386,Marketing & Sales,Sales,"Jefe Marketing Activation,
Coordinador Categoria",4.032922659
11001777,10847674,Marketing & Sales,Sales,Vendedor Operaciones,4.02935497
10818897,10179771,Marketing & Sales,Sales,Especialista Operacion Trade Marketing,4.024106915
10764395,10697516,Marketing & Sales,Sales,"Especialista Ventas Canales Alternos,
Vendedor OOH y FS",4.016336129
10759491,10389242,Marketing & Sales,Sales,"Coordinador Cuentas Clave,
Vendedor Mayoreo",4.009937694
10751205,10543198,Marketing & Sales,Sales,"Especialista Ventas,
Vendedor",4.008790654
10617154,1210046,Marketing & Sales,Sales,"Gerente de Distrito NN,
Nutritional SR Advisor",4.00304366
10991802,10408386,Marketing & Sales,"Marketing,
Sales","Jefe Business Unit,
Coordinador Categoria",3.999850371
10788558,10246070,Marketing & Sales,Sales,Vendedor,3.997653311
10563359,10372491,Marketing & Sales,Sales,Especialista Trade Marketing,3.996676961
10933834,10179771,Marketing & Sales,Sales,"Analista trade Marketing AS,
Tecnico Informacion Ventas",3.994521766
10836774,10840750,Marketing & Sales,Sales,Coordinador Category Management,3.994352777
11022471,10586568,Marketing & Sales,Sales,Especialista Trainee Comercial,3.994287862
1290268,10596690,Marketing & Sales,Sales,"Supervisor Sales Analyst,
Ejecutivo Operaciones,
Ejecutivo de Operaciones",3.990839164
10765323,10451189,Marketing & Sales,Sales,"Asesor Nutricional SR,
Asesor Nutricional",3.988112659
11030414,10284233,Marketing & Sales,Sales,Vendedor OOH y FS,3.98348538
10727153,10727153,Marketing & Sales,Sales,Especialista Ventas,3.982469003
10830506,10353297,Marketing & Sales,Marketing,"Coordinador Omnichannel Activator,
Coordinador E-Commerce",3.982022342
1201031,1204160,"General Management,
Marketing & Sales","General Management,
Marketing",Asistente Ejecutiva VP,3.980200159
10684146,10684146,Marketing & Sales,Sales,Coffee Specialist CRC,3.979260447
10750503,10305794,Marketing & Sales,Marketing,"Jefe Marketing,
Coordinador Marketing",3.978278059
10952456,10204949,Marketing & Sales,Sales,Coffee Specialist Boutique,3.9770039
10743473,10394316,Marketing & Sales,Sales,"Jefe Cuentas Clave,
Coordinador Categoria",3.973588478
10327609,10940754,Marketing & Sales,Sales,Asesor Nutricional SR,3.973286132
1290216,1290216,Marketing & Sales,Sales,"Supervisor Sales Analyst,
Ejecutivo Operaciones,
Operations Specialist",3.972640021
10998700,10643198,Marketing & Sales,Sales,Asesor Nutricional Jr,3.971828204
10657124,10018974,Marketing & Sales,Sales,Especialista Cuentas Clave,3.966578846
10737107,101797711,Marketing & Sales,Sales,"Coordinador Categoria,
Coordinador Trade Marketing",3.96547811
10813245,10496878,Marketing & Sales,Sales,Analista Ingenieria Rutas,3.964110499
10563362,10776399,Marketing & Sales,Sales,"Vendedor Mayoreo,
Analista Informacion Cuentas Mayoreo",3.961412508
10733297,10666872,Marketing & Sales,Sales,"Vendedor,
Vendedor NN",3.961234536
10210270,1202652,Marketing & Sales,Sales,Asesor Nutricional Instit y Hospitales,3.955636458
10644788,1201472,Marketing & Sales,Sales,"Asesor Nutricional,
Asesor Nutricional JR.",3.954262881
