ID,Comprende los objetivos del equipo y los objetivos de la empresa.,Ve cómo la contribución personal impacta el negocio.,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor.,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas,Comprende el impacto de nuestras operaciones en la comunidad.,Participa en actividades dentro de la comunidad.,Asume la responsabilidad de sus propias acciones y consecuencias.,Muestra congruencia en palabras y acciones.,Vive los valores y principios de Nestlé.,Actúa teniendo en cuenta la reputación y el mejor interés de la organización.,Interactúa con integridad y honestidad.,Admite errores.,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé.,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad.,Planea y prioriza el trabajo de manera efectiva.,Aprovecha cada oportunidad para hacer más de lo esperado.,No duda en actuar.,Persigue objetivos con energía y conduce hasta su finalización.,Asume la responsabilidad de entregar los resultados esperados (qué y cómo).,Busca activamente comentarios de otros.,Crea y ejecuta planes de desarrollo personal.,Aprovecha todas las oportunidades para aprender y crecer.,Aprende de los éxitos y errores.,Tiene recursos para perseguir objetivos de aprendizaje.,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites.",Obtiene la confianza y el apoyo de los demás.,Está preparado para hacer compromisos para lograr los objetivos del grupo.,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo.",Influye sin autoridad.,Se interesa y escucha atentamente las ideas de los demás.,Funciona a través de desacuerdos sin dañar las relaciones.,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos.,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia.",Inicia y contribuye a la innovación y la mejora continua.,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas.,"Desafía constructivamente el ""por qué"" y pregunta ""por qué no"".",Actúa de manera decisiva y proactiva.,Comprende los objetivos del equipo y los objetivos de la empresa._AUTOEVALUCIÓN,Ve cómo la contribución personal impacta el negocio._AUTOEVALUCIÓN,Toma medidas basadas en la comprensión de las necesidades del cliente y del consumidor._AUTOEVALUCIÓN,Pregunta activamente para aprender sobre el negocio para tomar decisiones apropiadas_AUTOEVALUCIÓN,Comprende el impacto de nuestras operaciones en la comunidad._AUTOEVALUCIÓN,Participa en actividades dentro de la comunidad._AUTOEVALUCIÓN,Asume la responsabilidad de sus propias acciones y consecuencias._AUTOEVALUCIÓN,Muestra congruencia en palabras y acciones._AUTOEVALUCIÓN,Vive los valores y principios de Nestlé._AUTOEVALUCIÓN,Actúa teniendo en cuenta la reputación y el mejor interés de la organización._AUTOEVALUCIÓN,Interactúa con integridad y honestidad._AUTOEVALUCIÓN,Admite errores._AUTOEVALUCIÓN,Logra resultados en el cumplimiento de los Principios empresariales corporativos de Nestlé._AUTOEVALUCIÓN,Muestra un impulso para alcanzar objetivos ambiciosos de desempeño y estándares de calidad._AUTOEVALUCIÓN,Planea y prioriza el trabajo de manera efectiva._AUTOEVALUCIÓN,Aprovecha cada oportunidad para hacer más de lo esperado._AUTOEVALUCIÓN,No duda en actuar._AUTOEVALUCIÓN,Persigue objetivos con energía y conduce hasta su finalización._AUTOEVALUCIÓN,Asume la responsabilidad de entregar los resultados esperados (qué y cómo)._AUTOEVALUCIÓN,Busca activamente comentarios de otros._AUTOEVALUCIÓN,Crea y ejecuta planes de desarrollo personal._AUTOEVALUCIÓN,Aprovecha todas las oportunidades para aprender y crecer._AUTOEVALUCIÓN,Aprende de los éxitos y errores._AUTOEVALUCIÓN,Tiene recursos para perseguir objetivos de aprendizaje._AUTOEVALUCIÓN,"Tiene una gran autoconciencia personal: fortalezas, debilidades, oportunidades y límites._AUTOEVALUCIÓN",Obtiene la confianza y el apoyo de los demás._AUTOEVALUCIÓN,Está preparado para hacer compromisos para lograr los objetivos del grupo._AUTOEVALUCIÓN,"Contribuye activamente con ideas, energía y el deseo de tener éxito como equipo._AUTOEVALUCIÓN",Influye sin autoridad._AUTOEVALUCIÓN,Se interesa y escucha atentamente las ideas de los demás._AUTOEVALUCIÓN,Funciona a través de desacuerdos sin dañar las relaciones._AUTOEVALUCIÓN,Anticipa problemas futuros y trabaja para minimizarlos o prevenirlos._AUTOEVALUCIÓN,"Afronta nuevos problemas, abre nuevos caminos y desarrolla planes de contingencia._AUTOEVALUCIÓN",Inicia y contribuye a la innovación y la mejora continua._AUTOEVALUCIÓN,Es de mente abierta hacia nuevas y diferentes formas de hacer las cosas._AUTOEVALUCIÓN,"Desafía constructivamente el ""por qué"" y pregunta ""por qué no""._AUTOEVALUCIÓN",Actúa de manera decisiva y proactiva._AUTOEVALUCIÓN,Date,Global Pay Grade,Function,Position,Technical Entry Date (date format),Age,PotencialT,DesempeñoT,Desempeño,Potencial
1200003,4,3,4,4,4,3,4,4,4,3,4,3,3,4,3,4,4,3,4,3,3,4,4,3,4,3,4,4,4,3,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,3,3,4,4,3,4,4,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,2021-04-30,I,Operations,Coordinador MANTO Envase y Embalaje,10096,50-54,2,1,2,2
1200303,4,4,4,4,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,2,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,4,4,3,3,4,3,4,3,4,3,3,3,4,3,4,4,2021-04-30,I,Operations,Coordinador MANTO Fabricacion,10850,45-49,3,2,2,2
1200541,4,3,3,4,3,1,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,4,4,3,3,4,4,2,3,2,3,3,3,3,3,2,3,3,3,4,4,3,3,4,4,3,3,3,3,4,2,4,2021-04-30,J,Operations,Especialista Calidad Indirectos,11462,50-54,2,1,2,2
1200556,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-04-30,K,Marketing & Sales,Supervisor Sales Analyst,11350,55-59,3,1,2,2
1200569,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3,4,3,4,4,3,4,4,4,3,3,4,3,4,2021-04-30,K,Operations,Analista Almacen Tecnico,7953,45-49,2,2,2,2
1200584,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,4,2,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,3,4,4,3,4,4,4,4,2,4,3,4,2021-04-30,K,Corporate Communications,Asistente Ejecutiva,11145,50-54,2,2,2,2
1200601,4,3,3,3,3,2,4,4,4,4,4,4,4,4,3,3,4,4,4,2,2,3,3,3,4,4,3,3,3,4,3,4,3,2,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,3,4,4,4,4,3,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,4,3,4,2021-04-30,I,Marketing & Sales,Coordinador Cuentas Clave,10986,55-59,2,1,2,2
1200692,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,4,3,3,4,4,4,3,4,3,4,3,4,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,2021-04-30,J,Marketing & Sales,Asesor Nutricional SR,9978,55-59,2,1,2,2
1200702,3,3,2,3,3,3,4,3,4,4,4,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,2,3,3,3,2,3,4,3,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2021-04-30,J,Operations,Especialista MANTO Fabricacion,11588,50-54,2,1,2,2
1200724,4,4,3,2,3,3,4,4,4,4,4,4,4,3,4,2,4,4,3,3,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,3,4,4,3,3,3,4,3,3,2020-01-31,J,Marketing & Sales,Especialista Compras Operativas,9698,45-49,2,1,2,1
1200778,3,3,3,2,3,2,3,3,3,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,3,3,4,4,4,3,4,3,4,4,3,4,3,4,2021-04-30,J,Research & Development,Especialista Laboratorio Microbiologia,9474,45-49,2,1,2,2
1200815,2,2,2,2,2,1,2,2,3,3,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,3,1,3,2,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-04-30,J,Research & Development,Especialista Laboratorio Microbiologia,10849,50-54,1,1,1,2
1200833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,2,4,3,4,3,4,4,4,4,1,4,1,1,1,1,4,1,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,2021-04-30,J,Marketing & Sales,Especialista ADMON Ventas,10255,50-54,3,1,3,1
1200907,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,2,4,4,4,3,4,4,3,3,4,4,4,4,4,4,2,2,3,4,3,3,4,4,4,3,4,2,4,4,4,4,4,4,3,3,3,4,4,3,3,2,3,4,3,4,2,4,4,2,3,3,3,4,3,2,3,4,3,2021-04-30,L,Marketing & Sales,Vendedor OOH y FS,10650,45-49,2,1,2,2
1200927,1,1,3,2,1,3,2,3,1,1,1,2,1,1,2,2,2,1,1,3,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,3,4,4,3,3,4,2,4,4,4,4,4,4,4,3,2,3,3,3,2,3,2,3,3,3,3,3,4,3,2,3,3,3,3,2,2,2,2,2021-04-30,J,Marketing & Sales,Especialista Cuentas Clave,9506,45-49,2,2,2,2
1200928,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,4,3,4,2,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,3,4,3,3,3,2021-04-30,K,Operations,Analista Proceso Almacén,9250,50-54,3,1,3,2
1200938,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-04-30,L,Operations,Tecnico Supervisor de Turno,11480,45-49,2,2,2,2
1200946,4,3,3,4,4,3,4,3,4,4,3,3,3,3,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,2021-04-30,I,Operations,Coordinador MANTO Electrico,10109,45-49,2,2,2,2
1201005,3,3,3,2,4,3,2,3,4,4,4,2,3,2,3,3,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,3,3,2,3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2021-04-30,J,Marketing & Sales,Asesor Nutricional SR,9128,50-54,2,1,2,1
1201022,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,2,4,3,4,2021-04-30,J,Human Resources,Asistente Ejecutiva VP,8914,45-49,3,2,3,3
1201026,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,2021-04-30,J,Marketing & Sales,Especialista Distribuidores,8885,40-44,2,3,3,3
1201031,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2021-04-30,J,General Management,Asistente Ejecutiva VP,15025,60-64,3,1,2,2
1201060,4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,2,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,2021-04-30,J,Marketing & Sales,Asesor Nutricional SR,8564,45-49,3,1,2,2
1201109,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,2,2,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,2,3,4,3,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,3,4,4,3,3,4,4,3,3,3,3,3,3,2021-04-30,J,Operations,Asistente Ejecutiva VP,8414,40-44,3,1,3,2
1201111,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2021-04-30,I,Marketing & Sales,Coordinador Cuentas Clave,8396,50-54,3,1,3,2
1201232,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,2021-04-30,K,Marketing & Sales,Supervisor Sales Analyst,8079,55-59,3,1,3,1
1201243,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,2,2,2,3,3,2,3,4,3,3,3,4,4,3,3,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,2021-04-30,J,Operations,Customer Service Specialist,8049,50-54,2,2,3,2
1201276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-01-31,L,Operations,Tecnico Supervisor de Turno,7986,35-39,3,1,3,2
1201450,3,3,3,2,3,2,3,3,3,4,4,3,3,4,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,4,3,4,3,4,4,4,3,4,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,2021-04-30,H,Marketing & Sales,Jefe Cuentas Clave,7611,45-49,3,2,2,1
1201454,4,2,2,2,4,2,4,4,4,4,4,4,4,3,4,4,3,3,4,2,2,2,4,3,4,4,2,1,3,4,4,4,2,2,3,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,1,4,3,3,4,4,4,2021-04-30,K,Marketing & Sales,Asistente Ejecutiva,7591,55-59,3,1,3,3
