ID,No. Empleado PM,Function,Sub Function,Position,it
1201022,10205030,Human Resources,Human Resources,Asistente Ejecutiva VP,4.038529791
10581045,10487847,Human Resources,Talent,Coordinador Educacion y Entrenamiento,4.035148505
10653723,10379245,Human Resources,Talent,Coordinador Atraccion Talento,3.983076495
10910334,10379245,Human Resources,Talent,Especialista Atraccion Talento,3.961421345
10216369,10577753,Human Resources,HR Other Services,Especialista CoS,3.9526737
10941433,10487847,Human Resources,Talent,Especialista Educacion y Entrenamiento,3.949614265
10587555,10379245,Human Resources,Talent,Coordinador Atraccion Talento,3.946687215
10779219,10743465,Human Resources,HR Other Services,Especialista Seguridad Social CoS,3.936235428
10596064,10487847,Human Resources,Talent,"Coordinator E&E,
Training Specialist",3.930274319
10913917,10432159,Human Resources,"Talent,
Human Resources","Talent Coordinator,
Especialista Trainee RH",3.925425582
10647916,10577753,Human Resources,HR Other Services,Coordinador CoS,3.893339614
10889153,10577753,Human Resources,HR Other Services,Especialista Nomina CoS,3.870684332
10985817,10487847,Human Resources,Talent,Especialista Educacion y Entrenamiento,3.862649684
10216369,10230050,Human Resources,HR Other Services,Especialista CoS,3.859178741
10837471,10379245,Human Resources,Talent,Coordinador Atraccion Talento,3.845394443
10835481,10577753,Human Resources,HR Other Services,Especialista Nomina CoS,3.804429932
10768963,10379245,"Human Resources,
Operations","Talent,
Supply Chain","Coordinador Atraccion Talento,
Coordinador Proyectos Supply Chain",3.878600685
10036226,10487847,Human Resources,"Business Partnering,
Talent","Jefe HRBP,
Coordinador Educacion y Entrenamiento",3.803366947
10765310,10395828,Human Resources,"Business Partnering,
Talent","Coordinador HRBP,
Coordinador Atraccion Talento",3.802761323
10365034,10379245,Human Resources,Talent,Especialista Atraccion Talento,3.788249292
10329458,10230050,Human Resources,HR Other Services,Especialista CoS,3.772812727
10723296,10230050,Human Resources,HR Other Services,Especialista CoS,3.772308394
10788977,10577753,Human Resources,HR Other Services,"Especialista CoS,
Especialista Nomina CoS",3.769425924
10723296,10230050,Human Resources,HR Other Services,Especialista CoS,3.764724683
11000461,10188659,Human Resources,HR Other Services,Especialista CoS,3.7243828
10898677,10562854,Human Resources,Business Partnering,Coordinador HRBP,3.716200017
10425684,1203666,Human Resources,Business Partnering,Coordinador HRBP,3.692853674
10812161,10281566,Human Resources,HR Other Services,Especialista CoS,3.688452687
10729843,1203666,Human Resources,Business Partnering,Coordinador HRBP,3.673627681
10816357,1204055,Human Resources,HR Other Services,Especialista CoS,3.641869272
11026221,1201572,Human Resources,"Employee Relations, Health & Safety,
Human Resources",Especialista Relaciones Laborales,3.630038559
10902607,10236214,"Human Resources,
Operations","Business Partnering,
Technical","Human Resource Analyst,
Tecnico Administrativo Fabricacion",3.317198835
10961034,10379245,Human Resources,Talent,Especialista Atraccion Talento,3.615730204
10956613,10230050,Human Resources,HR Other Services,Especialista CoS,3.576632075
10918826,10432159,Human Resources,People Analytics & Organization Effectiv,"People Analytics Analyst,
Especialista People Analytics",3.546030867
10769378,1206553,Human Resources,Business Partnering,Coordinador HRBP,3.541593469
10224708,10230050,Human Resources,HR Other Services,Especialista CoS,3.506503487
10433736,10487847,Human Resources,Talent,Coordinador Educacion y Entrenamiento,3.49969137
10758469,1204055,Human Resources,HR Other Services,Especialista CoS,3.449948638
10816426,1026090,Human Resources,Business Partnering,Especialista HRBP,3.388160888
10956607,10286163,Human Resources,HR Other Services,Especialista Administracion Personal,3.374790476
10964869,10379245,Human Resources,Talent,"Especialista Atraccion Talento,
Analista Atracción Talento",3.372998005
10134681,10487847,Human Resources,Talent,Coordinador Educacion y Entrenamiento,3.366914114
10848084,10188659,Human Resources,HR Other Services,Especialista  CoS,3.360066283
10957653,10379245,Human Resources,Talent,Coordinador Atraccion Talento,3.297634495
10497333,1200734,Human Resources,HR Other Services,"Especialista Calidad Datos RH,
Especialista  CoS",3.290185095
10877060,10281566,Human Resources,HR Other Services,Especialista CoS,3.249054987
10717899,10379245,Human Resources,Talent,Coordinador Atraccion Talento,3.234615182
10880067,10281566,"Finance & Control,
Human Resources","Co-piloting,
HR Other Services","Coordinador Costos,
Especialista CoS",2.785228005
10769378,1206553,Human Resources,Business Partnering,Coordinador HRBP,3.206641581
10861594,1204055,Human Resources,HR Other Services,Especialista CoS,3.203619575
